Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
3597;CATARINENSE;SÃO PAULO;RIO DE JANEIRO (RJ) - SOROCABA (SP);SOROCABA - RIO ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;7015141;3;RIO DE JANEIRO (RJ) - SOROCABA (SP);0;Vedetes;Normal;Seccionado;Regional Sul;519,29
3613;CATARINENSE;CURITIBA;BALNEARIO CAMBORIU (SC) - SAO LEOPOLDO (RS) VIA POA;CURITIBA - SANTA MARIA;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;SCRS0001023;3;BALNEARIO CAMBORIU (SC) - SAO LEOPOLDO (RS) VIA POA;0;Demais Mercados;Normal;Seccionado;Regional Sul;541,11
3615;CATARINENSE;BALNEARIO CAMBORIU;CURITIBA (PR) - BALNEARIO CAMBORIU (SC);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001014;3;CURITIBA (PR) - BALNEARIO CAMBORIU (SC);0;Vedetes;Normal;Seccionado;Regional Sul;224,71
3618;CATARINENSE;FLORIANOPOLIS;TUBARAO (SC) - CAMPINAS (SP);SP - LITORAL SC;0;CAMA;ANTT;RODOVIARIO          ;0;9;16015651;3;TUBARAO (SC) - CAMPINAS (SP);0;Vedetes;Normal;Seccionado;Regional Sul;974,1
3627;CATARINENSE;FLORIANOPOLIS;FLORIANOPOLIS (SC) - SAO CAETANO DO SUL (SP);ABC LITORAL - SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;SCSP0001040;3;FLORIANOPOLIS (SC) - SAO CAETANO DO SUL (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;767,89
3629;CATARINENSE;FLORIANOPOLIS;FLORIANOPOLIS (SC) - SAO CAETANO DO SUL (SP);ABC LITORAL - SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;SCSP0001040;3;FLORIANOPOLIS (SC) - SAO CAETANO DO SUL (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;767,89
3652;CATARINENSE;FOZ DO IGUACU;NOVA IGUACU (RJ) - SOROCABA (SP);SOROCABA - RIO ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;8029341;3;NOVA IGUACU (RJ) - SOROCABA (SP);0;Vedetes;Normal;Seccionado;Regional Sul;502,99
3660;CATARINENSE;BLUMENAU;CURITIBA (PR) - BLUMENAU (SC);CURITIBA - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001027;3;CURITIBA (PR) - BLUMENAU (SC);0;Demais Mercados;Normal;Seccionado;Regional Sul;235,2
3664;CATARINENSE;FLORIANOPOLIS;FLORIANOPOLIS (SC) - SANTOS (SP);ABC LITORAL - SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;SCSP0001024;3;FLORIANOPOLIS (SC) - SANTOS (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;706,15
3666;CATARINENSE;CURITIBA;CURITIBA (PR) - PORTO ALEGRE (RS);CURITIBA - PORTO ALEGRE;0;LEITO DD;ANTT;RODOVIARIO;0;9;9021841;3;CURITIBA (PR) - PORTO ALEGRE (RS);0;;;;Regional Sul;749,55
